PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Devaughn Vele,WR,NO,ARI,211,42.50,6.00,18.25,3900,3.65,0.9,0.02
KhaDarel Hodge,WR,ATL,TB,108,48.00,1.50,23.25,3200,1.99,0.6,0.02
John Bates,TE,WAS,NYG,-284,45.50,-6.00,25.75,2500,1.23,0.5,0.02
Arizona Cardinals,D,ARI,NO,-257,42.50,-6.00,24.25,3500,7.90,2.3,0.01
Malachi Corley,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,4.87,1.6,0.01
Isaiah Davis,RB,NYJ,PIT,129,38.00,3.00,17.50,4000,3.15,0.8,0.01
David Moore,WR,CAR,JAX,129,46.00,3.00,21.50,3000,1.41,0.5,0.01
Ashton Dulin,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.64,0.2,0.01
Anthony Gould,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.55,0.2,0.01
Ronnie Rivers,RB,LAR,HOU,-143,44.50,-2.50,23.50,4000,0.29,0.1,0.01
Travis Hunter,WR,JAX,CAR,-153,46.00,-3.00,24.50,5000,17.52,3.5,0.00
Drake Maye,QB,NE,LV,-152,42.50,-3.00,22.75,5500,18.47,3.4,0.00
Russell Wilson,QB,NYG,WAS,232,45.50,6.00,19.75,5000,14.45,2.9,0.00
Cameron Ward,QB,TEN,DEN,295,41.50,7.50,17.00,5000,14.58,2.9,0.00
Ricky Pearsall,WR,SF,SEA,-136,45.00,-2.50,23.75,4500,12.44,2.8,0.00
Joe Flacco,QB,CLE,CIN,202,46.50,6.00,20.25,4900,13.87,2.8,0.00
Michael Penix,QB,ATL,TB,108,48.00,1.50,23.25,5600,15.30,2.7,0.00
Christian McCaffrey,RB,SF,SEA,-136,45.00,-2.50,23.75,7300,19.55,2.7,0.00
Emeka Egbuka,WR,TB,ATL,-127,48.00,-1.50,24.75,4600,11.68,2.5,0.00
Tetairoa McMillan,WR,CAR,JAX,129,46.00,3.00,21.50,5200,12.58,2.4,0.00
Tee Higgins,WR,CIN,CLE,-246,46.50,-6.00,26.25,6400,13.95,2.2,0.00
Mason Taylor,TE,NYJ,PIT,129,38.00,3.00,17.50,3100,6.67,2.2,0.00
Josh Downs,WR,IND,MIA,-125,46.50,-2.00,24.25,4600,9.93,2.2,0.00
Matthew Golden,WR,GB,DET,-120,49.50,-1.50,25.50,4900,10.73,2.2,0.00
Quinshon Judkins,RB,CLE,CIN,202,46.50,6.00,20.25,5100,10.72,2.1,0.00
Ashton Jeanty,RB,LV,NE,128,42.50,3.00,19.75,7000,14.68,2.1,0.00
Jack Bech,WR,LV,NE,128,42.50,3.00,19.75,4100,8.01,2.0,0.00
Elijah Arroyo,TE,SEA,SF,116,45.00,2.50,21.25,2700,5.13,1.9,0.00
RJ Harvey,RB,DEN,TEN,-375,41.50,-7.50,24.50,5800,10.86,1.9,0.00
TreVeyon Henderson,RB,NE,LV,-152,42.50,-3.00,22.75,5500,10.58,1.9,0.00
Tyler Higbee,TE,LAR,HOU,-143,44.50,-2.50,23.50,3400,6.59,1.9,0.00
Kaleb Johnson,RB,PIT,NYJ,-152,38.00,-3.00,20.50,5300,9.87,1.9,0.00
Jayden Higgins,WR,HOU,LAR,121,44.50,2.50,21.00,4800,8.66,1.8,0.00
Tyler Warren,TE,IND,MIA,-125,46.50,-2.00,24.25,4400,7.86,1.8,0.00
Darren Waller,TE,MIA,IND,106,46.50,2.00,22.25,3500,6.18,1.8,0.00
Los Angeles Rams,D,LAR,HOU,-143,44.50,-2.50,23.50,3400,5.93,1.7,0.00
Kyle Williams,WR,NE,LV,-152,42.50,-3.00,22.75,4300,7.17,1.7,0.00
Jalen Coker,WR,CAR,JAX,129,46.00,3.00,21.50,3700,6.06,1.6,0.00
Tyler Shough,QB,NO,ARI,211,42.50,6.00,18.25,4800,7.44,1.6,0.00
Malik Washington,WR,MIA,IND,106,46.50,2.00,22.25,3200,4.99,1.6,0.00
Jaylin Noel,WR,HOU,LAR,121,44.50,2.50,21.00,3800,5.79,1.5,0.00
Tory Horton,WR,SEA,SF,116,45.00,2.50,21.25,3000,4.39,1.5,0.00
Troy Franklin,WR,DEN,TEN,-375,41.50,-7.50,24.50,3500,5.15,1.5,0.00
Isaac TeSlaa,WR,DET,GB,100,49.50,1.50,24.00,3100,4.49,1.5,0.00
Roman Wilson,WR,PIT,NYJ,-152,38.00,-3.00,20.50,3000,4.05,1.4,0.00
Spencer Rattler,QB,NO,ARI,211,42.50,6.00,18.25,4800,6.71,1.4,0.00
Bhayshul Tuten,RB,JAX,CAR,-153,46.00,-3.00,24.50,4400,6.26,1.4,0.00
Cam Skattebo,RB,NYG,WAS,232,45.50,6.00,19.75,5100,6.12,1.2,0.00
Chimere Dike,WR,TEN,DEN,295,41.50,7.50,17.00,3000,3.68,1.2,0.00
Elic Ayomanor,WR,TEN,DEN,295,41.50,7.50,17.00,3100,3.80,1.2,0.00
Jaylen Wright,RB,MIA,IND,106,46.50,2.00,22.25,4900,5.15,1.1,0.00
Jaylin Lane,WR,WAS,NYG,-284,45.50,-6.00,25.75,3700,3.93,1.1,0.00
Harold Fannin,TE,CLE,CIN,202,46.50,6.00,20.25,3100,3.28,1.1,0.00
Dont'e Thornton,WR,LV,NE,128,42.50,3.00,19.75,3600,3.84,1.1,0.00
Pat Bryant,WR,DEN,TEN,-375,41.50,-7.50,24.50,3400,3.25,1.0,0.00
Savion Williams,WR,GB,DET,-120,49.50,-1.50,25.50,3300,3.33,1.0,0.00
Sterling Shepard,WR,TB,ATL,-127,48.00,-1.50,24.75,3100,2.91,0.9,0.00
Dylan Sampson,RB,CLE,CIN,202,46.50,6.00,20.25,4900,4.15,0.9,0.00
Devin Culp,TE,TB,ATL,-127,48.00,-1.50,24.75,2500,1.91,0.8,0.00
Devin Neal,RB,NO,ARI,211,42.50,6.00,18.25,4000,3.08,0.8,0.00
Nick Chubb,RB,HOU,LAR,121,44.50,2.50,21.00,5200,4.04,0.8,0.00
Tommy Tremble,TE,CAR,JAX,129,46.00,3.00,21.50,2500,1.94,0.8,0.00
Tahj Brooks,RB,CIN,CLE,-246,46.50,-6.00,26.25,4000,3.02,0.8,0.00
Gunnar Helm,TE,TEN,DEN,295,41.50,7.50,17.00,2600,2.02,0.8,0.00
Chris Rodriguez,RB,WAS,NYG,-284,45.50,-6.00,25.75,4000,3.21,0.8,0.00
Woody Marks,RB,HOU,LAR,121,44.50,2.50,21.00,5200,3.48,0.7,0.00
Jacory Croskey-Merritt,RB,WAS,NYG,-284,45.50,-6.00,25.75,4000,2.91,0.7,0.00
Tim Patrick,WR,DET,GB,100,49.50,1.50,24.00,3600,2.49,0.7,0.00
Dare Ogunbowale,RB,HOU,LAR,121,44.50,2.50,21.00,4000,2.72,0.7,0.00
Arian Smith,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,2.23,0.7,0.00
Kendrick Bourne,WR,NE,LV,-152,42.50,-3.00,22.75,3300,2.38,0.7,0.00
Tez Johnson,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,2.02,0.7,0.00
Mitchell Evans,TE,CAR,JAX,129,46.00,3.00,21.50,2500,1.43,0.6,0.00
Trevor Etienne,RB,CAR,JAX,129,46.00,3.00,21.50,4500,2.49,0.6,0.00
Lucas Krull,TE,DEN,TEN,-375,41.50,-7.50,24.50,2500,1.43,0.6,0.00
Zay Jones,WR,ARI,NO,-257,42.50,-6.00,24.25,3300,1.87,0.6,0.00
Sean Tucker,RB,TB,ATL,-127,48.00,-1.50,24.75,4000,2.60,0.6,0.00
Kendre Miller,RB,NO,ARI,211,42.50,6.00,18.25,4300,2.38,0.6,0.00
Xavier Restrepo,WR,TEN,DEN,295,41.50,7.50,17.00,3300,1.89,0.6,0.00
Will Mallory,TE,IND,MIA,-125,46.50,-2.00,24.25,2500,1.20,0.5,0.00
Terrance Ferguson,TE,LAR,HOU,-143,44.50,-2.50,23.50,3200,1.71,0.5,0.00
Tyler Goodson,RB,IND,MIA,-125,46.50,-2.00,24.25,4000,1.85,0.5,0.00
Lil'Jordan Humphrey,WR,NYG,WAS,232,45.50,6.00,19.75,3000,1.46,0.5,0.00
Jarquez Hunter,RB,LAR,HOU,-143,44.50,-2.50,23.50,4500,1.65,0.4,0.00
DJ Giddens,RB,IND,MIA,-125,46.50,-2.00,24.25,4800,2.01,0.4,0.00
MarShawn Lloyd,RB,GB,DET,-120,49.50,-1.50,25.50,4700,1.86,0.4,0.00
Chris Brooks,RB,GB,DET,-120,49.50,-1.50,25.50,4000,1.44,0.4,0.00
Damien Martinez,RB,SEA,SF,116,45.00,2.50,21.25,4000,1.57,0.4,0.00
Jordan Watkins,WR,SF,SEA,-136,45.00,-2.50,23.75,3300,1.44,0.4,0.00
Ollie Gordon,RB,MIA,IND,106,46.50,2.00,22.25,4200,1.24,0.3,0.00
Jordan James,RB,SF,SEA,-136,45.00,-2.50,23.75,4300,1.30,0.3,0.00
Julian Hill,TE,MIA,IND,106,46.50,2.00,22.25,2700,0.88,0.3,0.00
Alec Ingold,RB,MIA,IND,106,46.50,2.00,22.25,4000,1.07,0.3,0.00
Eric Saubert,TE,SEA,SF,116,45.00,2.50,21.25,2500,0.77,0.3,0.00
Craig Reynolds,RB,DET,GB,100,49.50,1.50,24.00,4000,0.77,0.2,0.00
Kalel Mullings,RB,TEN,DEN,295,41.50,7.50,17.00,4000,0.79,0.2,0.00
Michael Carter,RB,ARI,NO,-257,42.50,-6.00,24.25,4100,0.87,0.2,0.00
Hunter Renfrow,WR,CAR,JAX,129,46.00,3.00,21.50,3200,0.53,0.2,0.00
Drew Ogletree,TE,IND,MIA,-125,46.50,-2.00,24.25,2500,0.41,0.2,0.00
Tyler Badie,RB,DEN,TEN,-375,41.50,-7.50,24.50,4000,0.73,0.2,0.00
Jeremy McNichols,RB,WAS,NYG,-284,45.50,-6.00,25.75,4000,0.61,0.2,0.00
Sione Vaki,RB,DET,GB,100,49.50,1.50,24.00,4000,0.55,0.1,0.00
DeAndre Carter,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.28,0.1,0.00
Julius Chestnut,RB,TEN,DEN,295,41.50,7.50,17.00,4000,0.29,0.1,0.00
Clyde Edwards-Helaire,RB,NO,ARI,211,42.50,6.00,18.25,4000,0.58,0.1,0.00
Isaiah Neyor,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.31,0.1,0.00
Pharaoh Brown,TE,MIA,IND,106,46.50,2.00,22.25,2500,0.29,0.1,0.00
Ian Thomas,TE,LV,NE,128,42.50,3.00,19.75,2500,0.28,0.1,0.00
Xavier Smith,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.37,0.1,0.00
Dylan Laube,RB,LV,NE,128,42.50,3.00,19.75,4000,0.40,0.1,0.00
Chris Manhertz,TE,NYG,WAS,232,45.50,6.00,19.75,2500,0.25,0.1,0.00
Jalen Milroe,QB,SEA,SF,116,45.00,2.50,21.25,4300,0.56,0.1,0.00
Malik Heath,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.31,0.1,0.00
Dante Pettis,WR,NO,ARI,211,42.50,6.00,18.25,3000,0.29,0.1,0.00
DeeJay Dallas,RB,ARI,NO,-257,42.50,-6.00,24.25,4000,0.37,0.1,0.00
Jha'Quan Jackson,WR,TEN,DEN,295,41.50,7.50,17.00,3000,0.41,0.1,0.00
Raheem Blackshear,RB,CAR,JAX,129,46.00,3.00,21.50,4000,0.55,0.1,0.00
Quali Conley,RB,CIN,CLE,-246,46.50,-6.00,26.25,4000,0.00,0.0,0
Caden Prieskorn,TE,DEN,TEN,-375,41.50,-7.50,24.50,2500,0.00,0.0,0
Junior Bergen,WR,SF,SEA,-136,45.00,-2.50,23.75,3000,0.00,0.0,0
Riley Leonard,QB,IND,MIA,-125,46.50,-2.00,24.25,4100,0.00,0.0,0
Rashod Owens,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Moochie Dixon,WR,NO,ARI,211,42.50,6.00,18.25,3000,0.00,0.0,0
Marcus Yarns,RB,NO,ARI,211,42.50,6.00,18.25,4000,0.06,0.0,0.00
Jack Westover,TE,NE,LV,-152,42.50,-3.00,22.75,2500,0.00,0.0,0
Jamoi Mayes,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Ulysses Bentley,RB,IND,MIA,-125,46.50,-2.00,24.25,4000,0.00,0.0,0
Jordan Moore,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
William Wagner,TE,CIN,CLE,-246,46.50,-6.00,26.25,2500,0.00,0.0,0
Kendall Milton,RB,CIN,CLE,-246,46.50,-6.00,26.25,4000,0.00,0.0,0
Payton Thorne,QB,CIN,CLE,-246,46.50,-6.00,26.25,4000,0.00,0.0,0
Quinn Ewers,QB,MIA,IND,106,46.50,2.00,22.25,4000,0.00,0.0,0
Chris Collier,RB,LV,NE,128,42.50,3.00,19.75,4000,0.00,0.0,0
Emory Jones,QB,ATL,TB,108,48.00,1.50,23.25,4000,0.00,0.0,0
Andrew Armstrong,WR,MIA,IND,106,46.50,2.00,22.25,3000,0.00,0.0,0
Qadir Ismail,TE,LV,NE,128,42.50,3.00,19.75,2500,0.00,0.0,0
Isaiah Williams,WR,CIN,CLE,-246,46.50,-6.00,26.25,3000,0.00,0.0,0
Theo Wease,WR,MIA,IND,106,46.50,2.00,22.25,3000,0.00,0.0,0
Colson Yankoff,TE,WAS,NYG,-284,45.50,-6.00,25.75,2500,0.00,0.0,0
Messiah Swinson,TE,GB,DET,-120,49.50,-1.50,25.50,2500,0.00,0.0,0
Julian Hicks,WR,GB,DET,-120,49.50,-1.50,25.50,3000,0.00,0.0,0
Emani Bailey,RB,CAR,JAX,129,46.00,3.00,21.50,4000,0.00,0.0,0
Tanner Mordecai,QB,SF,SEA,-136,45.00,-2.50,23.75,4000,0.00,0.0,0
Jalin Conyers,TE,MIA,IND,106,46.50,2.00,22.25,2500,0.00,0.0,0
Mason Pline,TE,NO,ARI,211,42.50,6.00,18.25,2500,0.00,0.0,0
Maximilian Mang,TE,IND,MIA,-125,46.50,-2.00,24.25,2500,0.00,0.0,0
Kyrese Rowan,WR,DEN,TEN,-375,41.50,-7.50,24.50,3000,0.00,0.0,0
Sam Hartman,QB,WAS,NYG,-284,45.50,-6.00,25.75,4000,0.00,0.0,0
Kye Robichaux,RB,DET,GB,100,49.50,1.50,24.00,4000,0.00,0.0,0
Moliki Matavao,TE,NO,ARI,211,42.50,6.00,18.25,2500,0.00,0.0,0
Jalen McMillan,WR,TB,ATL,-127,48.00,-1.50,24.75,4100,0.00,0.0,0
Zach Horton,TE,DET,GB,100,49.50,1.50,24.00,2500,0.00,0.0,0
Jakobie Keeney-James,WR,DET,GB,100,49.50,1.50,24.00,3000,0.00,0.0,0
Jackson Meeks,WR,DET,GB,100,49.50,1.50,24.00,3000,0.00,0.0,0
Dominic Lovett,WR,DET,GB,100,49.50,1.50,24.00,3000,0.00,0.0,0
AJ Henning,WR,MIA,IND,106,46.50,2.00,22.25,3000,0.00,0.0,0
Cody Schrader,RB,LAR,HOU,-143,44.50,-2.50,23.50,4000,0.00,0.0,0
Neal Johnson,TE,NYJ,PIT,129,38.00,3.00,17.50,2500,0.00,0.0,0
Drake Stoops,WR,LAR,HOU,-143,44.50,-2.50,23.50,3000,0.00,0.0,0
Kameron Johnson,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Courtney Jackson,WR,DEN,TEN,-375,41.50,-7.50,24.50,3000,0.00,0.0,0
Terique Owens,WR,SF,SEA,-136,45.00,-2.50,23.75,3000,0.00,0.0,0
Jerjuan Newton,WR,DEN,TEN,-375,41.50,-7.50,24.50,3000,0.00,0.0,0
Joaquin Davis,WR,DEN,TEN,-375,41.50,-7.50,24.50,3000,0.00,0.0,0
Drake Dabney,TE,TEN,DEN,295,41.50,7.50,17.00,2500,0.00,0.0,0
Ajou Ajou,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.00,0.0,0
Cam Camper,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Kobe Hudson,WR,CAR,JAX,129,46.00,3.00,21.50,3000,0.00,0.0,0
Gage Larvadain,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
Bryce Pierre,TE,CAR,JAX,129,46.00,3.00,21.50,2500,0.00,0.0,0
Ke'Shawn Williams,WR,PIT,NYJ,-152,38.00,-3.00,20.50,3000,0.00,0.0,0
Jimmy Horn,WR,CAR,JAX,129,46.00,3.00,21.50,3000,0.00,0.0,0
Kay'Ron Lynch-Adams,RB,CAR,JAX,129,46.00,3.00,21.50,4000,0.00,0.0,0
Ahmani Marshall,RB,CLE,CIN,202,46.50,6.00,20.25,4000,0.00,0.0,0
Shedeur Sanders,QB,CLE,CIN,202,46.50,6.00,20.25,4900,0.00,0.0,0
Jacolby George,WR,CAR,JAX,129,46.00,3.00,21.50,3000,0.00,0.0,0
Dorian Singer,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Darius Lassiter,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Kirk Cousins,QB,ATL,TB,108,48.00,1.50,23.25,4600,0.00,0.0,0
Dillon Gabriel,QB,CLE,CIN,202,46.50,6.00,20.25,4900,0.00,0.0,0
Brady Cook,QB,NYJ,PIT,129,38.00,3.00,17.50,4000,0.00,0.0,0
Taylor Elgersma,QB,GB,DET,-120,49.50,-1.50,25.50,4000,0.00,0.0,0
Donovan Edwards,RB,NYJ,PIT,129,38.00,3.00,17.50,4000,0.06,0.0,0.00
Amar Johnson,RB,GB,DET,-120,49.50,-1.50,25.50,4000,0.00,0.0,0
Eli Pancol,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Chandler Brayboy,WR,JAX,CAR,-153,46.00,-3.00,24.50,3000,0.00,0.0,0
Jamaal Pritchett,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
LeQuint Allen,RB,JAX,CAR,-153,46.00,-3.00,24.50,4000,0.00,0.0,0
Daniel Jackson,WR,HOU,LAR,121,44.50,2.50,21.00,3000,0.00,0.0,0
Luke Lachey,TE,HOU,LAR,121,44.50,2.50,21.00,2500,0.00,0.0,0
Graham Mertz,QB,HOU,LAR,121,44.50,2.50,21.00,4000,0.00,0.0,0
Antwane Wells,WR,NYG,WAS,232,45.50,6.00,19.75,3000,0.00,0.0,0
Beaux Collins,WR,NYG,WAS,232,45.50,6.00,19.75,3000,0.00,0.0,0
Will Howard,QB,PIT,NYJ,-152,38.00,-3.00,20.50,4000,0.00,0.0,0
Da'Quan Felton,WR,NYG,WAS,232,45.50,6.00,19.75,3000,0.00,0.0,0
Seth Henigan,QB,JAX,CAR,-153,46.00,-3.00,24.50,4000,0.00,0.0,0
Ja'Quinden Jackson,RB,JAX,CAR,-153,46.00,-3.00,24.50,4000,0.00,0.0,0
Cade McDonald,WR,CLE,CIN,202,46.50,6.00,20.25,3000,0.00,0.0,0
Dalen Cambre,WR,NYG,WAS,232,45.50,6.00,19.75,3000,0.00,0.0,0
Jermaine Terry,TE,NYG,WAS,232,45.50,6.00,19.75,2500,0.00,0.0,0
Patrick Herbert,TE,JAX,CAR,-153,46.00,-3.00,24.50,2500,0.00,0.0,0
J.J. Galbreath,TE,PIT,NYJ,-152,38.00,-3.00,20.50,2500,0.00,0.0,0
Thomas Fidone,TE,NYG,WAS,232,45.50,6.00,19.75,2500,0.00,0.0,0
Max Hurleman,RB,PIT,NYJ,-152,38.00,-3.00,20.50,4000,0.00,0.0,0
Jaxson Dart,QB,NYG,WAS,232,45.50,6.00,19.75,4500,0.00,0.0,0
John Copenhaver,TE,JAX,CAR,-153,46.00,-3.00,24.50,2500,0.00,0.0,0
Dymere Miller,WR,NYJ,PIT,129,38.00,3.00,17.50,3000,0.00,0.0,0
Nick Nash,WR,ATL,TB,108,48.00,1.50,23.25,3000,0.00,0.0,0
Blayne Taylor,WR,IND,MIA,-125,46.50,-2.00,24.25,3000,0.00,0.0,0
TJ Sheffield,WR,TEN,DEN,295,41.50,7.50,17.00,3000,0.00,0.0,0
Carter Runyon,TE,LV,NE,128,42.50,3.00,19.75,2500,0.00,0.0,0
Ricky White,WR,SEA,SF,116,45.00,2.50,21.25,3000,0.00,0.0,0
Marshall Lang,TE,SEA,SF,116,45.00,2.50,21.25,2500,0.00,0.0,0
Tommy Mellott,WR,LV,NE,128,42.50,3.00,19.75,3000,0.00,0.0,0
Jacardia Wright,RB,SEA,SF,116,45.00,2.50,21.25,4000,0.00,0.0,0
Nick Kallerup,TE,SEA,SF,116,45.00,2.50,21.25,2500,0.00,0.0,0
Garrett Greene,WR,TB,ATL,-127,48.00,-1.50,24.75,3000,0.00,0.0,0
Cam Miller,QB,LV,NE,128,42.50,3.00,19.75,4000,0.00,0.0,0
Robbie Ouzts,RB,SEA,SF,116,45.00,2.50,21.25,4000,0.00,0.0,0
Oscar Cardenas,TE,ARI,NO,-257,42.50,-6.00,24.25,2500,0.00,0.0,0
Bryson Green,WR,ARI,NO,-257,42.50,-6.00,24.25,3000,0.00,0.0,0
